STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Carpenter St,SE,35th St,Highwood Dr (E),1,Reconstruction,1999,100,Completed,0.10,7,LOCAL,3/31/2004 12:00:00 AM,12/16/2003 12:00:00 AM,4/29/2005 12:00:00 AM,2 Year CIP 2001 - 2003,403967.125570,133626.566910,38.87045529291450,-76.95428514320320,FY-04 per Sylvester,Local Street Upgr-W7,Sylvester Okpala,2386,,,
Eads St,NE,42nd St,44th St,1,Pavement Resurface/restoration,2005,100,Completed,0.19,7,LOCAL,,,4/29/2005 12:00:00 AM,Information provided by Sylvester (Team 4),405127.1032,136437.833760,38.89577426453070,-76.94089726262080,,CITY WIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8733,,,
Eads St,NE,44th St,45th St,1,Pavement Resurface/restoration,2005,100,Completed,0.08,7,LOCAL,,,4/29/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),405337.181410,136403.344350,38.895462321056,-76.93847585245860,,,,8734,,,
45th St,NE,Eads St,Foote St,3,Pavement Resurface/restoration,2005,100,Completed,0.15,7,LOCAL,,,4/29/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),405400.178910,136512.139960,38.89644200666190,-76.937748796276,,,,8735,,,
Foote St,NE,55th St,58th St,3,Upgrading,1999,100,Completed,0.23,7,LOCAL,9/6/2002 12:00:00 AM,6/27/2004 12:00:00 AM,4/30/2005 12:00:00 AM, Ongoing Activities: Only AC Surface remains.,406954.075170,136591.326110,38.89714442514420,-76.91983527917740,,Local Street Upgr-W7,Sylvester Okpala,2662,,,
F St,SE,51st St,53rd St,1,Upgrading,1999,100,Completed,0.13,7,LOCAL,3/15/2002 12:00:00 AM,10/15/2004 12:00:00 AM,4/30/2005 12:00:00 AM,Ongoing Activities: Only AC Surface placement remains.,406246.111460,134851.094550,38.88147308601420,-76.92801231163150,,Local Street Upgr-W7,,2568,,,
Nannie Helen Burroughs Ave,NE,57th St,Eastern Ave,3,Pavement Resurface/restoration,2004,100,Completed,0.14,7,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/2/2005 12:00:00 AM,,407129.199590,136727.267230,38.89836762868390,-76.91781508190740,,,,5716,,,
Texas Ave,SE,Burns St (W),East Capitol St,11,Pavement Resurface/restoration,2004,100,Completed,0.67,7,COLLECTOR,4/4/2005 12:00:00 AM,,5/2/2005 12:00:00 AM,,405152.342020,135314.345630,38.88565331861950,-76.940614746867,,,,5922,,,
Q St,NW,22nd St,Florida Ave (W),1,Pavement Resurface/restoration,2004,100,Completed,0.01,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/3/2005 12:00:00 AM,,395766.998750,138141.829020,38.91112921284810,-77.04880647152370,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration Contract,Maduabuchi Udeh,5237,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
50th St,NE,Fitch Pl,Nannie Helen Burroughs Ave,2,Upgrading,1999,100,Completed,0.16,7,LOCAL,3/31/2004 12:00:00 AM,11/20/2003 12:00:00 AM,4/30/2005 12:00:00 AM,Ongoing Activities:  Only AC surface placement remains.,406083.421350,136606.775870,38.89729005844390,-76.92987180277580,FY-04 per Sylvester,Local Street Upgr-W7,,2571,,,
Lee St,NE,44th St,45th St,2,Upgrading,1999,100,Completed,0.09,7,LOCAL,3/31/2004 12:00:00 AM,10/29/2004 12:00:00 AM,4/30/2005 12:00:00 AM,Ongoing activities:  Water line installation  catch basin and storm sewer installation.,405387.606530,137465.989660,38.90503470068770,-76.93788624429150,,Local Street Upgr-W7,,2588,,,
17th St,NW,Seaton St,Florida Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.07,1,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/3/2005 12:00:00 AM,,396663.857910,138909.001470,38.91804402026140,-77.03846942129940,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5187,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Florida Ave,NW,19th St,T St (W),1,Pavement Resurface/restoration,2004,100,Completed,0.04,1/2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/3/2005 12:00:00 AM,,396205.5094,138651.470970,38.91572224109710,-77.04375326431760,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration Contract,Maduabuchi Udeh,5199,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
15th St,NW,Caroline St,U St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/4/2005 12:00:00 AM,,397005.189120,138753.5799,38.91664516101960,-77.03453281602820,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5206,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
G St,SE,3rd St,4th St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,6,LOCAL,6/4/2005 12:00:00 AM,,5/4/2005 12:00:00 AM,,399886.385090,134826.361430,38.88127245861970,-77.00130943082640,,CIP_2004-2009,,4668,,,
Seward Sq,SE,5th St (N),North Carolina Ave (E),1,Pavement Resurface/restoration,2004,100,Completed,0.06,6,LOCAL,5/3/2005 12:00:00 AM,,5/4/2005 12:00:00 AM,,400088.065850,135410.109370,38.88653108719750,-76.99898495155290,,,,5661,,,
12th St,SE,Pennsylvania Ave,G St,1,Pavement Resurface/restoration,2005,100,Completed,0.07,6,LOCAL,4/27/2005 12:00:00 AM,,5/4/2005 12:00:00 AM,,400846.415930,134880.337560,38.881758296474,-76.99024484850390,,,,7317,,,
A St,SE,9th St,North Carolina Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.04,6,LOCAL,,,5/5/2005 12:00:00 AM,,400570.725980,135647.598040,38.88867029413350,-76.99342160565010,,,,5058,,,
Sheridan Cir,NW,23rd St,23rd St,3,Pavement Resurface/restoration,2004,100,Completed,0.14,2,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,5/5/2005 12:00:00 AM,,395639.452950,138244.833570,38.91205648912870,-77.05027772741490,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5243,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
L St,SE,5th St,7th St,1,Pavement Resurface/restoration,2004,100,Completed,0.18,6,LOCAL,5/5/2005 12:00:00 AM,,5/5/2005 12:00:00 AM,,400186.170210,134410.486040,38.877526078083,-76.99785446986450,,,,5648,,,
Virginia Ave,SE,K St,8th St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,6,LOCAL,5/4/2005 12:00:00 AM,,5/5/2005 12:00:00 AM,,400405.720830,134497.2151,38.87830729368290,-76.99532419393090,,,,5667,,,
Maryland Ave,NE,Benning Rd,M St,9,Pavement Resurface/restoration,2004,100,Completed,0.81,5,COLLECTOR,,,5/5/2005 12:00:00 AM,,402013.082080,137219.4439,38.90282793587920,-76.97679188128870,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5639,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Chillum Pl,NE,3rd St (N),2nd St,1,Pavement Resurface/restoration,2005,100,Completed,0.08,4,LOCAL,8/1/2008 12:00:00 AM,,6/29/2005 12:00:00 AM,,399696.541660,143540.851840,38.959775367226,-77.00350126018440,,Citywide Pavement Restoration,Paul Stephenson,7137,Hill  Obrient,,202-6714591
Woodley Pl,NW,Calvert St,Woodley Rd,1,Regular Cover,1999,100,Completed,0.14,1,LOCAL,3/31/2004 12:00:00 AM,,6/29/2005 12:00:00 AM,2 Year CIP 2001 - 2003,395594.662330,139618.256990,38.92442851326270,-77.05080298229030,,,,2463,,,
Whittier St,NW,4th St,5th St,1,Regular Cover,1999,100,Completed,0.09,4,LOCAL,4/5/2004 12:00:00 AM,6/29/2005 12:00:00 AM,6/29/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398356.680030,144817.679490,38.97127586071750,-77.01896345760060,N/A,Citywide Pavement Restoration,Paul Stephenson,2500,,N/A,
30th St,NW,Cul De Sac (N),Ordway St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,3,LOCAL,3/31/2004 12:00:00 AM,6/29/2005 12:00:00 AM,6/29/2005 12:00:00 AM,,394704.5749,140833.1945,38.93536813031240,-77.06107696867720,WASA FY-06 LSR,Citywide Pavement Restoration,Paul Stephenson,4352,Rodney Olive and Deguzman,N/A,202-671-4591
Adams Mill Rd,NW,18th St,Calvert St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,1,COLLECTOR,3/31/2004 12:00:00 AM,,5/5/2005 12:00:00 AM,,396280.876250,139464.060480,38.92304263421340,-77.04288863133940,POKA-2004-B-0016-JJ,Federal Aid City wide Pavement Restoration Corporation,Maduabuchi Udeh,3138,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
15th St,NW,V St,New Hampshire Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.07,1,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,397001.113470,138972.959610,38.91862139171210,-77.03458077011730,,,,5185,,,
Sherman Ave,NW,Park Rd (S),New Hampshire Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.03,1,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,397677.597560,140517.269920,38.93253507489150,-77.02678532013320,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5197,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
E St,NE,9th St,Maryland Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.03,6,LOCAL,5/6/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,400565.996220,136479.613880,38.89616540421320,-76.99347543715280,,,,5538,,,
D St,SE,2nd St (S),5th St,3,Pavement Resurface/restoration,2004,100,Completed,0.22,6,LOCAL,5/5/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,399868.590620,135159.595230,38.88427435478810,-77.00151457878660,,,,5601,,,
9th St,NE,A St,Massachusetts Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.02,6,LOCAL,5/5/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,400541.174620,135915.439520,38.89108312921480,-76.993762014368,,,,5859,,,
10th St,NE,Massachusetts Ave,A St,1,Pavement Resurface/restoration,2004,100,Completed,0.01,6,LOCAL,5/6/2005 12:00:00 AM,,5/6/2005 12:00:00 AM,,400638.019970,135891.7150,38.89086934494330,-76.99264572407170,,,,5860,,,
Florida Ave,NW,9th St (N),Vermont Ave,1,Federal Aid Resurfacing,2004,100,Completed,0.05,1,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/9/2005 12:00:00 AM,,397900.743260,138911.379650,38.91806926867670,-77.02420676845140,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5882,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
17th St,NW,M St,Massachusetts Ave,3,Pavement Resurface/restoration,2004,100,Completed,0.16,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/10/2005 12:00:00 AM,,396660.856030,137659.588930,38.90678887914410,-77.03849796057190,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5208,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
L St,NW,6th St,7th St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/10/2005 12:00:00 AM,,398186.631520,137367.906750,38.90416577626720,-77.02090608257260,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5224,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
E St,NE,Maryland Ave,10th St,1,Pavement Resurface/restoration,2004,100,Completed,0.03,6,LOCAL,5/9/2005 12:00:00 AM,,5/10/2005 12:00:00 AM,,400614.008090,136475.860920,38.89613156395780,-76.99292198016430,,,,5051,,,
V St,SE,Cul De Sac,Shannon Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.03,8,LOCAL,3/31/2004 12:00:00 AM,,5/10/2005 12:00:00 AM,,400813.580860,133127.408030,38.865967237758,-76.990625355439,,,,4677,,,
E St,NE,17th St,20th St,4,Pavement Resurface/restoration,2004,100,Completed,0.25,6,LOCAL,5/9/2005 12:00:00 AM,,5/10/2005 12:00:00 AM,,401868.028030,136473.842940,38.89611161494530,-76.978466186232,,,,4417,,,
G St,NW,20th St,21st St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,2,COLLECTOR,4/4/2005 12:00:00 AM,,5/11/2005 12:00:00 AM,,396028.515230,136719.912410,38.89832131145660,-77.04578296680820,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration ,Maduabuchi Udeh,5222,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
G St,NW,23rd St,24th St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,COLLECTOR,4/4/2005 12:00:00 AM,,5/11/2005 12:00:00 AM,,395594.725340,136720.8399,38.89832759978340,-77.05078366780860,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5223,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
G St,NW,24th St,Virginia Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.04,2,COLLECTOR,4/4/2005 12:00:00 AM,,5/11/2005 12:00:00 AM,,395508.876540,136720.327390,38.89832254849950,-77.051773322618,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,8694,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
3rd St,NW,O St,Florida Ave (E),5,Reconstruction,1999,100,Completed,0.37,5,LOCAL,6/15/2002 12:00:00 AM,12/15/2003 12:00:00 AM,5/11/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398683.209310,138124.869730,38.91098564490180,-77.01518255521020,Suspended the construction due to Pepco work,,,2616,,,
Rhode Island Ave,NW,New Jersey Ave,R St,3,Pavement Resurface/restoration,2004,100,Completed,0.19,2,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,5/12/2005 12:00:00 AM,,398317.867070,138370.430050,38.91319711210630,-77.019395541176,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5241,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Whitehaven Pky,NW,35th St,35th Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.05,2/3,COLLECTOR,4/4/2005 12:00:00 AM,,5/12/2005 12:00:00 AM,,393944.683510,138748.607650,38.91658461108230,-77.06982309621090,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5244,Michael Jelen,Michael.jelen@dc.gov,202-671-4542
17th St,NW,L St,De Sales St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/12/2005 12:00:00 AM,,396659.971710,137377.715010,38.90424965721920,-77.03850678533840,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,5207,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Q St,NW,Wisconsin Ave (N),35th St,3,Pavement Resurface/restoration,2005,100,Completed,0.22,2,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,5/12/2005 12:00:00 AM,,394176.051770,138099.359450,38.91073753032840,-77.06714971193630,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,6479,Michael Jelen,Michael.Jelen@dc.govM,202-671-4542
Prospect St,NW,Wisconsin Ave,Potomac St,1,Pavement Resurface/restoration,2005,100,Completed,0.13,2,COLLECTOR,7/1/2006 12:00:00 AM,,5/12/2005 12:00:00 AM,,394446.812790,137573.441950,38.90600163773090,-77.06402360480520,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,7914,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
1st St,NE,Victor St,Hawaii Ave,3,Reconstruction,1999,100,Completed,0.09,5,LOCAL,4/7/2003 12:00:00 AM,,6/9/2005 12:00:00 AM,2 Year CIP 2001 - 2003,399512.500320,141822.9632,38.94430007838170,-77.00562348261940,,,,2615,,,
Quebec Pl,NW,10th St,13th St,1,Pavement Resurface/restoration,2003,100,Completed,0.13,4,LOCAL,4/12/2003 12:00:00 AM,,6/9/2005 12:00:00 AM,2 Year CIP 2001 - 2003,397533.0919,141004.047490,38.93691971960560,-77.02845371921110,WASA FY-06 LSR,,,2499,,,
24th Pl,SE,S St,T St,1,Pavement Resurface/restoration,2005,100,Completed,0.07,7,LOCAL,,,6/10/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),402413.682780,133328.251070,38.86777357832620,-76.97218716383410,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8738,,,
T St,SE,24th Pl,Naylor Rd,1,Pavement Resurface/restoration,2005,100,Completed,0.11,7,LOCAL,7/1/2006 12:00:00 AM,,6/10/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),402501.240380,133273.092120,38.86727643927840,-76.97117843945190,,CITY WIDE PAVEMETN RESTORATION CONTRACT (LOCAL STREETS),,4441,,,
8th St,NW,Van Buren St,Whittier St,1,Reconstruction,1999,100,Completed,0.10,4,LOCAL,4/5/2004 12:00:00 AM,,6/11/2005 12:00:00 AM,2 Year CIP 2001 - 2003,397901.834010,144742.834440,38.97060066984320,-77.02421202548270,,,,2507,,,
Delaware Ave,SW,M St,Canal St,1,Pavement Resurface/restoration,2004,100,Completed,0.26,6,COLLECTOR,4/4/2005 12:00:00 AM,6/10/2005 12:00:00 AM,6/13/2005 12:00:00 AM,,398754.084250,134135.952890,38.87505211182640,-77.01435813562040,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,4965,Said Cherifi,said.cherifi@dc.gov,202-671-4611
32nd Pl,NW,Worthington St,Aberfoyle Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.25,4,LOCAL,3/31/2004 12:00:00 AM,6/13/2005 12:00:00 AM,6/13/2005 12:00:00 AM,,394828.449210,145394.5120,38.97645841056180,-77.05968260892240,1st Aid to State ,Citywide Pavement Restoration,Paul Stephenson,3905,Rodney,N/A,202-671-4591
Farragut St,NW,9th St,13th St,3,Pavement Resurface/restoration,2003,100,Completed,0.20,4,LOCAL,4/4/2003 12:00:00 AM,,6/15/2005 12:00:00 AM,2 Year CIP 2001 - 2003,397712.456760,142547.126150,38.95082069671120,-77.02639004101690,WASA FY-06 LSR,,,2503,,,
Upton St,NW,Tindall St,45th St,1,Pavement Resurface/restoration,2003,100,Completed,0.05,3,LOCAL,4/12/2003 12:00:00 AM,,6/17/2005 12:00:00 AM,2 Year CIP 2001 - 2003,392433.564820,141595.026880,38.94221431460410,-77.08727898717180,,,,2473,,,
Livingston St,NW,Chevy Chase Pky,39th St,2,Reconstruction,2004,100,Completed,0.30,3,LOCAL,3/31/2004 12:00:00 AM,,6/17/2005 12:00:00 AM,2 Year CIP 2001 - 2003,393565.250170,143911.736960,38.96309287469170,-77.07424671395740,,,,2483,,,
4th St,NE,East Capitol St,C St (N),5,Pavement Resurface/restoration,2005,100,Completed,0.29,6,COLLECTOR,4/4/2005 12:00:00 AM,,8/15/2005 12:00:00 AM,,399950.362940,136010.638360,38.89194088094810,-77.000572160959,Dan's Projects,,,6609,,,
C St,NE,3rd St,4th St (M),1,Pavement Resurface/restoration,2004,100,Completed,0.08,6,LOCAL,4/4/2005 12:00:00 AM,,8/16/2005 12:00:00 AM,ON Hold For WASA's LSR,399886.510970,136192.594680,38.89358000489150,-77.00130820568670,,,,5585,,,
Rhode Island Ave,NE,South Dakota Ave,Eastern Ave  Otis St (N),7,Pavement Resurface/restoration,2005,100,Completed,0.51,5,PRINCIPAL ARTERIAL,7/1/2005 12:00:00 AM,,8/16/2005 12:00:00 AM,,402818.454620,140595.369280,38.93323716644480,-76.96749316489620,,,,8552,,,
30th St,NE,South Dakota Ave (E),Central Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.18,5,LOCAL,3/31/2004 12:00:00 AM,,2/17/2005 12:00:00 AM,Added per Mohamed,403028.711170,139915.643680,38.92711328936660,-76.96507115673890,,,,5897,,,
Bunker Hill Rd,NE,Michigan Ave (E),18th St,1,Pavement Resurface/restoration,2004,100,Completed,0.14,5,COLLECTOR,3/31/2004 12:00:00 AM,,2/17/2005 12:00:00 AM,Location requested at obligation meeting 1/18/2001,401626.289310,141569.413190,38.94201465731780,-76.981240774247,,FedAid_6YR_CIP,,3915,,,
Taylor St,NW,Rock Creek Church Rd,New Hampshire Ave,6,Reconstruction,1999,100,Completed,0.31,4,LOCAL,4/7/2003 12:00:00 AM,,2/18/2005 12:00:00 AM,2 Year CIP 2001 - 2003,398472.015450,141459.952320,38.94102877865020,-77.01762503789590,,,,2515,,,
Franklin St,NE,North Capitol St,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.11,5,LOCAL,3/31/2004 12:00:00 AM,,2/18/2005 12:00:00 AM,ON HOLD PER WASA REQUEST,399300.818940,139707.423520,38.92524251798640,-77.008063147335,,CIP_2004-2009,,2924,,,
Connecticut Ave,NW,Jenifer St,Military Rd,3,Pavement Resurface/restoration,2004,100,Completed,0.16,3,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,2/18/2005 12:00:00 AM,2/18/2005 12:00:00 AM,,393696.212540,143570.687750,38.96002156751930,-77.072732483195,N/A,Citywide Pavement Restoration,Paul Stephenson,3144,M. Howard and O. Hill,N/A,202-671-4591
Clifton St,NW,11th St,14th St (S),3,Pavement Resurface/restoration,2004,100,Completed,0.27,1,LOCAL,3/31/2004 12:00:00 AM,,4/1/2005 12:00:00 AM,Added to IDIQ04 per Team 1,397439.840760,139395.289120,38.92242726050920,-77.02952329192440,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,4831,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
University Pl,NW,Euclid St,Fairmont St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,1,LOCAL,3/31/2004 12:00:00 AM,,4/1/2005 12:00:00 AM,Added to IDIQ04 per Team 1,397041.440480,139564.024030,38.923946027532,-77.03411829851550,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract( Local Streets),Maduabuchi Udeh,3510,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Clifton St,NW,14th St (N),University Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.11,1,LOCAL,3/31/2004 12:00:00 AM,,4/1/2005 12:00:00 AM,,397139.031290,139417.844190,38.92262951596830,-77.03299226587950,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,4112,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Nannie Helen Burroughs Ave,NE,55th St,57th St,3,Pavement Resurface/restoration,2005,100,Completed,0.16,7,MINOR ARTERIAL,12/1/2005 12:00:00 AM,,4/6/2005 12:00:00 AM,,406894.429990,136726.569020,38.89836321159420,-76.92052149517940,,,,8224,,,
Fulton St,NW,38th St,Watson Pl,3,Pavement Resurface/restoration,2004,100,Completed,0.25,3,LOCAL,3/31/2004 12:00:00 AM,4/6/2005 12:00:00 AM,4/6/2005 12:00:00 AM,,393340.426840,139814.606340,38.92618309741320,-77.076801042245,N/A,Citywide Pavement Restoration,PAUL STEPHENSON,4273,Madibo,N/A,202-671-4591
Sigsbee Pl,NE,10th St,12th St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,5,LOCAL,4/4/2005 12:00:00 AM,,4/11/2005 12:00:00 AM,WASA Released this location,400742.349760,141366.756960,38.94019026288220,-76.99143722447680,,,,5831,,,
22nd St,NE,Jackson St,Lawrence St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,5,LOCAL,4/4/2005 12:00:00 AM,,4/11/2005 12:00:00 AM,,402238.976670,140355.585760,38.93107879114770,-76.97417739452440,,WASA,,5905,,,
31st Pl,NW,Utah Ave,Aberfoyle Pl,4,Pavement Resurface/restoration,2004,100,Completed,0.56,4,LOCAL,3/31/2004 12:00:00 AM,4/11/2005 12:00:00 AM,4/11/2005 12:00:00 AM,,394834.602390,145154.347040,38.974294986271,-77.05960978794840,N/A,Citywide Pavement Restoration,Paul Stephenson,4336,Midibo Hylton and William Lester,N/A,(202)6714591
Nebraska Ave,NW,38th St,Davenport St,2,Pavement Resurface/restoration,2004,100,Completed,0.09,3,PRINCIPAL ARTERIAL,3/31/2004 12:00:00 AM,,6/17/2005 12:00:00 AM,,393568.890460,142637.486630,38.951614125088,-77.07419276146710,,,,4237,,,
Nebraska Ave,NW,39th St,38th St,3,Pavement Resurface/restoration,2004,100,Completed,0.23,3,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,6/18/2005 12:00:00 AM,,393423.666620,142421.042790,38.94966326528030,-77.07586606638370,,,,5268,,,
Park Pl,SE,25th St,27th St,1,Pavement Resurface/restoration,2005,100,Completed,0.11,7,LOCAL,3/31/2004 12:00:00 AM,,6/18/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4) (Updated a blue one),402607.424510,133744.677980,38.87152436778460,-76.96995310110050,2nd Aid to State,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,4584,,,
Oliver St,NW,Chevy Chase Pky,Connecticut Ave,1,Regular Cover,2004,100,Completed,0.20,3,LOCAL,3/31/2004 12:00:00 AM,,6/18/2005 12:00:00 AM,2 Year CIP 2001 - 2003,393530.432380,144314.091140,38.96671712391540,-77.07465225182550,,,,2471,,,
Chaplin St,SE,H St (E),Ridge Rd,2,Pavement Resurface/restoration,2005,100,Completed,0.32,7,LOCAL,3/31/2004 12:00:00 AM,,6/20/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),405340.947460,134318.165590,38.87667821850030,-76.93844864632130,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,4879,,,
Lamont St,NW,16th St,Mount Pleasant St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,1,LOCAL,6/15/2002 12:00:00 AM,,6/20/2005 12:00:00 AM,,396758.681210,140325.187710,38.93080183035140,-77.03738269074890,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,2370,Michael jelen,Michael.Jelen@dc.gov,202-671-4542
Fessenden St,NW,Broad Branch Ter,Connecticut Ave,3,Pavement Resurface/restoration,2005,100,Completed,0.24,3,LOCAL,7/1/2008 12:00:00 AM,,7/20/2005 12:00:00 AM,,394136.963480,142978.912190,38.95469375280360,-77.06764208465350,,Federal,Paul Stephenson,4221,Rodney Olive,,202-671-4591
32nd St,NW,Ellicott St,Fessenden St,1,Pavement Resurface/restoration,2005,100,Completed,0.06,3,LOCAL,7/1/2007 12:00:00 AM,,7/20/2005 12:00:00 AM,,394351.266840,142877.255460,38.95377940638130,-77.06516882190510,N/A,Citywide Pavement Restoration,Paul Stephenson,4500,Rodney Olive,N/A,202-671-4591
